fullname,head,ogrn,class
"ПРИМОРСКАЯ КРАЕВАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ - ЖЕНСКАЯ ФЕДЕРАЦИЯ БОРЬБЫ САМБО, ВОЛЬНОЙ БОРЬБЫ И ДЗЮ-ДО",КРАЕВАЯ ЖЕНСКАЯ ФЕДЕРАЦИЯ БОРЬБЫ,1022500002304,2
"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ МУРМАНСКИЙ СОЦИАЛЬНО-БЛАГОТВОРИТЕЛЬНЫЙ КЛУБ РОДИТЕЛЕЙ И ДЕТЕЙ-ИНВАЛИДОВ ""НАДЕЖДА""","ОО СБК ""НАДЕЖДА""",1035100152977,8
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР НЕЙРОПСИХОЛОГИИ И ВНЕДРЕНИЯ СПОРТИВНЫХ ТЕХНОЛОГИЙ""","АНО ""ЦЕНТР НЕЙРОПСИХОЛОГИИ И ВНЕДРЕНИЯ СПОРТИВНЫХ ТЕХНОЛОГИЙ""",1183025007769,3
"НЕКОММЕРЧЕСКИЙ ФОНД ПОМОЩИ И ПОДДЕРЖКИ СОЦИАЛЬНО НЕЗАЩИЩЕННЫХ СЛОЕВ НАСЕЛЕНИЯ ""ДАРИТЬ БЛАГО""","НФ ППСНСН ""ДАРИТЬ БЛАГО""",1140700000242,3
"МЕЖРЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ПО СОДЕЙСТВИЮ В ПОВЫШЕНИИ КАЧЕСТВА И ДОСТУПНОСТИ ЖИЛЬЯ ""УНИС""","МОО ""УНИС""",1137799023295,8
БЛАГОТВОРИТЕЛЬНЫЙ ФОНД СОДЕЙСТВИЯ РАЗВИТИЮ ВОЕННО-ПАТРИОТИЧЕСКОГО ВОСПИТАНИЯ МОЛОДЕЖИ И СПОРТИВНЫХ ЕДИНОБОРСТВ ИМЕНИ СЕРГЕЕВА ЕВГЕНИЯ ГЕОРГИЕВИЧА,БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ИМ. СЕРГЕЕВА Е.Г.,1177800003369,2
АССОЦИАЦИЯ ОТЕЛЕЙ Г.КАЗАНИ И РЕСПУБЛИКИ ТАТАРСТАН,АССОЦИАЦИЯ ОТЕЛЕЙ Г.КАЗАНИ И РТ,1171690036209,5
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД РАЗВИТИЯ ОБРАЗОВАНИЯ, КУЛЬТУРЫ И СПОРТА ""МИР ВОЗМОЖНОСТЕЙ""","БФ РОКС ""МИР ВОЗМОЖНОСТЕЙ""",1182468002089,2
"МЕЖРЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ПО ОКАЗАНИЮ ПРАВОВОЙ ПОМОЩИ НАСЕЛЕНИЮ, ПРОСВЕЩЕНИЮ, ПОДДЕРЖКЕ ТВОРЧЕСТВА И СПОРТА ""ЗДОРОВАЯ СТРАНА""","МОО ""ЗДОРОВАЯ СТРАНА""",1177800006042,2
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОМОЩИ БЕЗДОМНЫМ ЖИВОТНЫМ ""СОБАЧИЙ ОСТРОВ""","БФ ПОМОЩИ БЕЗДОМНЫМ ЖИВОТНЫМ ""СОБАЧИЙ ОСТРОВ""",1192375006229,9
